id,prix_mad,ville,quartier,surface_m2,nb_chambres,nb_salles_de_bain,log_prix,price_category,surface_par_chambre,mois_annonce
1969,1980000.0,Casablanca,Maârif Extension,132.0,3,2,14.498607907721096,Luxe,33.0,5
672,1500000.0,Marrakech,Guéliz,86.0,1,1,14.220976332738882,Moyen,43.0,5
4189,750000.0,Kénitra,Maamora,117.0,2,1,13.527829818844937,Moyen,39.0,5
667,1741500.0,Casablanca,Sidi Belyout,162.0,3,2,14.370257943005656,Luxe,40.5,5
7091,540000.0,Benslimane,Autre Secteur,70.0,3,1,13.199326270390594,Moyen,17.5,5
1888,1476000.0,Marrakech,Guéliz,82.0,1,2,14.2048469616491,Moyen,41.0,5
3267,860000.0,Oued Laou,Toute La Ville,85.0,2,1,13.664688831019712,Moyen,28.333333333333332,5
281,2000000.0,Asilah,Toute La Ville,150.0,3,3,14.508658238524095,Luxe,37.5,5
1720,440000.0,Casablanca,Sidi Othmane,81.0,2,1,12.994532278619134,Économique,27.0,5
2948,830000.0,Temara,Centre Ville,60.0,2,1,13.629182184591333,Moyen,20.0,5
4456,1200000.0,Benslimane,Autre Secteur,98.0,2,1,13.997832948091215,Moyen,32.666666666666664,5
900,770500.0,Dcheira,Toute La Ville,67.0,2,1,13.5547962316,Moyen,22.333333333333332,5
6031,3300000.0,Casablanca,Maârif Extension,206.0,4,2,15.009433329466965,Luxe,41.2,5
7930,720000.0,Tanger,Branes 2,85.0,2,1,13.487007879880162,Moyen,28.333333333333332,5
6090,2600000.0,Casablanca,Triangle D'Or,150.0,2,2,14.77102238760702,Luxe,50.0,5
7176,3800000.0,Marrakech,Guéliz,181.0,3,3,15.150511887854474,Luxe,45.25,5
6992,850000.0,Tanger,Moujahidine,708.0,2,1,13.652992804936396,Moyen,236.0,5
761,490000.0,Kénitra,Seyad,80.0,2,2,13.102162710901053,Économique,26.666666666666668,5
6254,790000.0,Casablanca,Belvédère,50.0,1,1,13.579789490265188,Moyen,25.0,5
1907,2600000.0,Casablanca,Californie,127.0,3,1,14.77102238760702,Luxe,31.75,5
4043,1075000.0,Casablanca,Quartier Des Hôpitaux,65.0,1,1,13.887832149776026,Moyen,32.5,5
3824,3200000.0,Agadir,Tamraght,99.0,1,2,14.978661680269907,Luxe,49.5,5
4139,750000.0,Kénitra,Seyad,103.0,3,2,13.527829818844937,Moyen,25.75,5
3819,2000000.0,Casablanca,Beauséjour,110.0,2,2,14.508658238524095,Luxe,36.666666666666664,5
6269,1490000.0,Casablanca,Oulfa,212.0,4,3,14.214287349062356,Moyen,42.4,5
4301,1000000.0,Tit Mellil,Toute La Ville,106.0,3,2,13.815511557963774,Moyen,26.5,5
5570,1160000.0,Temara,Riad Oulad Mtaa,85.0,3,2,13.963931425151141,Moyen,21.25,5
6196,640000.0,Fès,Oued Fès,200.0,3,3,13.369225017834633,Moyen,50.0,5
2592,260000.0,Salé,Bab Sebta,50.0,2,1,12.468440756144114,Économique,16.666666666666668,5
4165,1750000.0,Bouznika,Plage Oued Cherrat,157.0,2,2,14.375126917328105,Luxe,52.333333333333336,5
3032,2800000.0,Bouskoura,Victoria,90.0,2,1,14.845130332288226,Luxe,30.0,5
5971,1395000.0,Casablanca,Nassim,153.0,3,2,14.148405690083225,Moyen,38.25,5
3580,1850000.0,Mohammedia,Corniche,117.0,3,2,14.430696737594902,Luxe,29.25,5
2833,2800000.0,Marrakech,Guéliz,169.0,3,2,14.845130332288226,Luxe,42.25,5
5450,780000.0,Kénitra,Val Fleury,90.0,1,1,13.567050480716235,Moyen,45.0,5
3473,460000.0,Deroua,Toute La Ville,78.0,2,1,13.038983942375959,Économique,26.0,5
6327,365000.0,Casablanca,Centre Ville,100.0,3,1,12.807655372286902,Économique,25.0,5
138,1670000.0,Bouznika,Autre Secteur,118.0,3,2,14.328334783195153,Luxe,29.5,5
7044,2500000.0,Marrakech,Agdal,78.0,2,2,14.731801689838349,Luxe,26.0,5
4893,920000.0,Marrakech,Bd Moulay Abdellah,87.0,3,1,13.732130035981154,Moyen,21.75,5
2180,820000.0,Mohammedia,Wafa,88.0,4,1,13.617060838751888,Moyen,17.6,5
2129,2200000.0,Casablanca,Les Princesses,146.0,2,2,14.603968372873895,Luxe,48.666666666666664,5
3178,1400000.0,Tanger,Autre Secteur,107.0,3,2,14.151983508870947,Moyen,26.75,5
4855,1350000.0,Temara,Wifak,86.0,2,1,14.115615891155079,Moyen,28.666666666666668,5
4638,2340000.0,Tanger,Tanger City Center,72.0,2,2,14.66566191468422,Luxe,24.0,5
5116,8500000.0,Kénitra,Alliance,150.0,3,2,15.955576839107596,Luxe,37.5,5
7140,500000.0,Kénitra,Val Fleury,66.0,2,1,13.122365377402328,Économique,22.0,5
7128,1080000.0,Casablanca,Oulfa,60.0,2,2,13.8924725250259,Moyen,20.0,5
4262,1392000.0,Tanger,Moulay Youssef,126.0,3,2,14.14625283826705,Moyen,31.5,5
4345,3900000.0,Marrakech,Autre Secteur,155.0,2,3,15.176487367510099,Luxe,51.666666666666664,5
1332,890000.0,Fès,Agdal,167.0,3,2,13.698977865303197,Moyen,41.75,5
2017,990000.0,Sidi Rahal,Toute La Ville,127.0,3,2,13.805461232211272,Moyen,31.75,5
4543,2250000.0,Casablanca,Maarif,114.0,2,2,14.626441218624949,Luxe,38.0,5
2483,3500000.0,Sidi Bouknadel,Toute La Ville,185.0,3,2,15.068273812173887,Luxe,46.25,5
7003,2400000.0,Rabat,Kébibat,180.0,3,2,14.690979711984754,Luxe,45.0,5
1359,1000000.0,El Mansouria,Toute La Ville,100.0,2,2,13.815511557963774,Moyen,33.333333333333336,5
6942,3600000.0,Casablanca,Quartier Des Hôpitaux,263.0,4,4,15.096444681204078,Luxe,52.6,5
6241,650000.0,Casablanca,Oulfa,51.0,1,1,13.384729180332174,Moyen,25.5,5
1330,1800000.0,Casablanca,Maarif,89.0,3,2,14.403297778421795,Luxe,22.25,5
8167,760000.0,Salé,Toute La Ville,81.0,3,1,13.541075028051122,Moyen,20.25,5
6882,1850000.0,Tanger,Tanger City Center,85.0,2,2,14.430696737594902,Luxe,28.333333333333332,5
8065,3000000.0,Tanger,Malabata,110.0,3,3,14.914123179965662,Luxe,27.5,5
2151,885000.0,Casablanca,Bachkou,36.0,1,2,13.69334405393293,Moyen,18.0,5
4531,1220000.0,Marrakech,Autre Secteur,63.0,2,1,14.014362236381235,Moyen,21.0,5
2123,1100000.0,Tanger,Autre Secteur,89.0,2,1,13.910821646859095,Moyen,29.666666666666668,5
4674,750000.0,Tanger,Tanja Balia,93.0,3,2,13.527829818844937,Moyen,23.25,5
3982,850000.0,Marrakech,Hay Charaf,93.0,2,1,13.652992804936396,Moyen,31.0,5
6997,820000.0,Marrakech,M'Hamid,126.0,2,2,13.617060838751888,Moyen,42.0,5
1252,800000.0,Tanger,Tanja Balia,118.0,2,1,13.592368256649284,Moyen,39.333333333333336,5
3279,550000.0,Tétouan,Centre Ville,120.0,2,1,13.217675375388819,Moyen,40.0,5
7063,860000.0,Casablanca,Oulfa,80.0,2,1,13.664688831019712,Moyen,26.666666666666668,5
3375,260000.0,Oujda,Route Jerada,70.0,2,1,12.468440756144114,Économique,23.333333333333332,5
2815,440000.0,Marrakech,M'Hamid,54.0,3,1,12.994532278619134,Économique,13.5,5
4720,1070000.0,Tanger,Tanja Balia,102.0,4,2,13.883170141017091,Moyen,20.4,5
6544,2100000.0,Casablanca,2 Mars,156.0,3,2,14.557448378884015,Luxe,39.0,5
1849,740000.0,Rabat,Hay Riad,377.0,5,3,13.51440681653079,Moyen,62.833333333333336,5
4859,2200000.0,Casablanca,Casablanca Finance City,64.0,1,1,14.603968372873895,Luxe,32.0,5
3038,2200000.0,Agadir,Secteur Touristique,95.0,2,2,14.603968372873895,Luxe,31.666666666666668,5
389,580000.0,Marrakech,Autre Secteur,74.0,3,1,13.270785106659046,Moyen,18.5,5
236,400000.0,Marrakech,M'Hamid,56.0,2,1,12.899222326086994,Économique,18.666666666666668,5
1078,430000.0,Sidi Rahal,Toute La Ville,57.0,2,1,12.971542813248437,Économique,19.0,5
1984,3800000.0,Rabat,Agdal,274.0,3,3,15.150511887854474,Luxe,68.5,5
4364,650000.0,Fès,Route Ain Chkaf,112.0,3,2,13.384729180332174,Moyen,28.0,5
3963,1980000.0,Dar Bouazza,Toute La Ville,150.0,3,2,14.498607907721096,Luxe,37.5,5
771,7000000.0,Casablanca,Aïn Diab,186.0,3,3,15.76142084987672,Luxe,46.5,5
2165,670000.0,Kénitra,Seyad,96.0,3,2,13.415034483903348,Moyen,24.0,5
4534,2350000.0,Casablanca,Anfa,122.0,3,1,14.669926311652166,Luxe,30.5,5
674,850000.0,Temara,Massira 2,90.0,2,2,13.652992804936396,Moyen,30.0,5
250,1300000.0,Marrakech,Hay Izdihar,86.0,2,2,14.077875591662238,Moyen,28.666666666666668,5
6297,740000.0,Marrakech,Semlalia,37.0,1,1,13.51440681653079,Moyen,18.5,5
1575,840000.0,Mohammedia,Corniche,89.0,2,1,13.641158361294979,Moyen,29.666666666666668,5
6238,450000.0,Tétouan,Taboula,60.0,2,1,13.017005083966255,Économique,20.0,5
3420,1750000.0,Temara,Wifak,103.0,3,2,14.375126917328105,Luxe,25.75,5
2081,1250000.0,Casablanca,Palmier,59.0,1,1,14.038654909278163,Moyen,29.5,5
1824,660000.0,Marrakech,Route D'Ourika,37.0,1,1,13.399996629152975,Moyen,18.5,5
7578,3400000.0,Ain Aouda,Toute La Ville,173.0,3,3,15.039286283703994,Luxe,43.25,5
7829,240000.0,Casablanca,Nassim,50.0,1,1,12.388398368982115,Économique,25.0,5
4545,2390000.0,Dar Bouazza,Toute La Ville,144.0,3,2,14.686804342317648,Luxe,36.0,5
5566,580000.0,Martil,Toute La Ville,62.0,2,1,13.270785106659046,Moyen,20.666666666666668,5
717,900000.0,Marrakech,Issil,103.0,2,1,13.710151153416941,Moyen,34.333333333333336,5
7306,390000.0,Sidi Rahal,Toute La Ville,46.0,1,1,12.873904582205107,Économique,23.0,5
7646,980000.0,Tétouan,Autre Secteur,148.0,4,2,13.795308871054397,Moyen,29.6,5
2048,795000.0,Bouznika,Hamza,96.0,3,2,13.586098651497313,Moyen,24.0,5
5997,1100000.0,Temara,Harhoura,70.0,2,1,13.910821646859095,Moyen,23.333333333333332,5
6600,520000.0,Casablanca,Sidi Moumen,62.0,2,1,13.161586013632684,Moyen,20.666666666666668,5
5265,740000.0,Casablanca,Maarif,50.0,1,1,13.51440681653079,Moyen,25.0,5
4179,900000.0,Temara,Autre Secteur,120.0,4,2,13.710151153416941,Moyen,24.0,5
4809,480000.0,Meknès,Autre Secteur,100.0,2,2,13.081543466215237,Économique,33.333333333333336,5
2725,580000.0,Kénitra,Alliance,85.0,2,2,13.270785106659046,Moyen,28.333333333333332,5
7403,850000.0,Marrakech,Semlalia,91.0,2,1,13.652992804936396,Moyen,30.333333333333332,5
7141,650000.0,Temara,Wifak,65.0,2,1,13.384729180332174,Moyen,21.666666666666668,5
7191,850000.0,Casablanca,Aïn Borja,90.0,2,1,13.652992804936396,Moyen,30.0,5
1461,1500000.0,Casablanca,Bachkou,106.0,2,2,14.220976332738882,Moyen,35.333333333333336,5
6915,1100000.0,Marrakech,Hivernage,74.0,2,1,13.910821646859095,Moyen,24.666666666666668,5
5989,1500000.0,Casablanca,Californie,99.0,2,2,14.220976332738882,Moyen,33.0,5
1669,1750000.0,Tanger,Malabata,100.0,2,2,14.375126917328105,Luxe,33.333333333333336,5
2757,940000.0,El Jadida,Autre Secteur,140.0,3,3,13.753636218075409,Moyen,35.0,5
2000,1450000.0,Tamesna,Toute La Ville,179.0,3,1,14.187074804051692,Moyen,44.75,5
4572,600000.0,Marrakech,Route De Casablanca,52.0,2,1,13.304686600863562,Moyen,17.333333333333332,5
4614,420000.0,Casablanca,Ain Sebaa,74.0,2,1,12.948012371209098,Économique,24.666666666666668,5
7612,592000.0,Tanger,Tanja Balia,74.0,2,1,13.291263603053904,Moyen,24.666666666666668,5
405,3750000.0,Casablanca,Racine,208.0,3,3,15.137266664613225,Luxe,52.0,5
385,570000.0,Casablanca,Errahma,75.0,3,2,13.25339339419516,Moyen,18.75,5
7354,1200000.0,Salé,Tabriquet,115.0,3,2,13.997832948091215,Moyen,28.75,5
2214,1500000.0,Kénitra,Mimosas,178.0,3,2,14.220976332738882,Moyen,44.5,5
1634,830000.0,Marrakech,M'Hamid,112.0,3,1,13.629182184591333,Moyen,28.0,5
7504,980000.0,Casablanca,Sidi Maarouf,87.0,2,2,13.795308871054397,Moyen,29.0,5
5580,170000.0,Tétouan,Autre Secteur,82.0,2,1,12.04355959836804,Économique,27.333333333333332,5
4785,1400000.0,Tamaris,Toute La Ville,94.0,2,2,14.151983508870947,Moyen,31.333333333333332,5
7369,650000.0,Larache,Toute La Ville,78.0,2,1,13.384729180332174,Moyen,26.0,5
6971,1800000.0,Casablanca,Bourgogne,68.0,2,1,14.403297778421795,Luxe,22.666666666666668,5
3926,2150000.0,Casablanca,Maârif Extension,146.0,3,3,14.580978865220017,Luxe,36.5,5
5337,670000.0,Bouznika,Autre Secteur,75.0,2,2,13.415034483903348,Moyen,25.0,5
4159,450000.0,Tétouan,Taboula,60.0,2,1,13.017005083966255,Économique,20.0,5
4949,850000.0,Benslimane,Autre Secteur,107.0,3,2,13.652992804936396,Moyen,26.75,5
5898,2000000.0,Casablanca,Beauséjour,110.0,2,2,14.508658238524095,Luxe,36.666666666666664,5
